Designator,Mid X,Mid Y,Rotation,Layer
C1,81.979871,-70.269326,225.0,top
C10,73.528595,-55.582657,45.0,top
C11,69.900671,-59.705726,135.0,top
C12,77.999871,-54.974326,45.0,top
C13,81.830698,-57.874275,45.0,top
C14,83.849871,-60.874326,45.0,top
C15,78.024871,-70.799326,225.0,top
C16,72.999871,-68.574326,225.0,top
C17,81.269871,-68.804326,315.0,top
C18,70.199871,-65.774326,225.0,top
C19,123.4948,-66.6776,270.0,top
C2,71.15,-57.774326,180.0,top
C20,78.799871,-55.774326,45.0,top
C24,144.2194,-66.675,270.0,top
C3,61.6,-60.8,270.0,top
C4,83.894282,-68.279915,225.0,top
C5,72.450262,-54.522952,45.0,top
C6,81.119498,-57.163075,45.0,top
C7,75.615671,-53.812926,315.0,top
C8,82.778888,-66.76244,315.0,top
C9,71.399871,-66.974326,225.0,top
JP2,112.896696,-69.612304,45.0,top
JP3,113.716696,-70.492304,45.0,top
JP5,114.576696,-71.332304,45.0,top
JP7,115.436696,-72.172304,45.0,top
L1,71.199871,-53.574326,225.0,top
R1,94.375,-55.99,90.0,top
R11,60.3504,-76.2742,270.0,top
R12,57.531,-76.2762,270.0,top
R13,56.5912,-76.2762,270.0,top
R14,58.4708,-76.2782,270.0,top
R15,59.4106,-76.2782,270.0,top
R16,61.2902,-76.2762,270.0,top
R17,62.23,-76.2762,270.0,top
R18,66.7766,-76.2996,270.0,top
R19,67.7164,-76.3016,270.0,top
R2,74.215671,-52.412926,315.0,top
R20,68.6562,-76.3016,270.0,top
R21,69.596,-76.3016,270.0,top
R22,70.5358,-76.2996,270.0,top
R23,71.4756,-76.2996,270.0,top
R24,72.4154,-76.2996,270.0,top
R25,73.3552,-76.2996,270.0,top
R26,76.9874,-76.3016,270.0,top
R27,77.9272,-76.3016,270.0,top
R28,78.867,-76.3016,270.0,top
R29,79.8068,-76.3016,270.0,top
R3,79.025,-50.225,180.0,top
R30,80.7466,-76.3016,270.0,top
R31,81.6864,-76.2996,270.0,top
R32,82.6262,-76.3036,270.0,top
R33,83.566,-76.3036,270.0,top
R34,87.1728,-76.3036,270.0,top
R35,89.0524,-76.3036,270.0,top
R36,90.932,-76.3016,270.0,top
R37,92.8116,-76.2996,270.0,top
R38,97.3836,-76.3016,270.0,top
R39,98.3234,-76.3016,270.0,top
R4,82.029871,-67.544326,135.0,top
R40,99.2632,-76.3016,270.0,top
R41,100.203,-76.3016,270.0,top
R42,101.1428,-76.3016,270.0,top
R43,102.0826,-76.3016,270.0,top
R44,103.0224,-76.2996,270.0,top
R45,103.96,-76.3016,270.0,top
R46,107.5436,-76.2996,270.0,top
R47,108.4834,-76.2996,270.0,top
R48,109.4232,-76.3016,270.0,top
R49,110.363,-76.3016,270.0,top
R50,91.8718,-76.3016,270.0,top
R51,93.7514,-76.2996,270.0,top
R52,114.1222,-76.3016,270.0,top
R53,113.1824,-76.3016,270.0,top
R54,112.2426,-76.3016,270.0,top
R55,111.3028,-76.2996,270.0,top
R56,89.9922,-76.3016,270.0,top
R57,88.1126,-76.3036,270.0,top
R58,127.121046,-76.315,270.0,top
R59,128.060846,-76.315,270.0,top
R60,128.994446,-76.313,270.0,top
R61,129.936,-76.312277,270.0,top
R62,130.8814,-76.3158,270.0,top
R63,131.825,-76.3166,270.0,top
R64,132.7622,-76.3174,270.0,top
R65,133.703,-76.3174,270.0,top
R66,137.325,-76.315,270.0,top
R67,138.2558,-76.315,270.0,top
R68,139.2002,-76.315,270.0,top
R69,140.1328,-76.313,270.0,top
R70,141.079,-76.3118,270.0,top
R71,142.0138,-76.3126,270.0,top
R72,142.9618,-76.3134,270.0,top
R73,143.898,-76.3134,270.0,top
R74,147.5032,-76.2976,270.0,top
R75,148.4448,-76.2976,270.0,top
R76,149.3996,-76.2984,270.0,top
R77,150.343,-76.2992,270.0,top
R78,151.3,-76.3,270.0,top
R79,152.2452,-76.3008,270.0,top
R8,63.1698,-76.2762,270.0,top
R80,153.1786,-76.3028,270.0,top
R81,154.1252,-76.2988,270.0,top
R82,157.6778,-76.317,270.0,top
R83,158.6302,-76.315,270.0,top
R84,159.5708,-76.313,270.0,top
R85,160.525,-76.3138,270.0,top
R86,161.4674,-76.3138,270.0,top
R87,162.423,-76.3138,270.0,top
R88,163.3672,-76.3138,270.0,top
R89,164.2996,-76.3138,270.0,top
SW1,83.775,-52.1,180.0,top
SW2,91.375,-52.1,180.0,top
U1,64.999871,-61.974326,0.0,top
U2,76.299871,-62.577826,45.0,top
X1,84.779871,-71.094326,135.0,top
