Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C24, C25, C26, C27, C3, C6",0402,20,100n,
"C11, C7, C8, C9",0402,4,4.7u,
C23,0402,1,10u,
"C28, C29",1206,2,22u,
"C4, C5",0402,2,15p,
D37,0603,1,KT-0603R,C2286
"D38, D39, D41",D_SMA,3,SS34,
J4,CON_5017868090,1,5017868090,
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,3.3u,C42411119
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R3, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R5, R6, R7, R8, R9",0402,36,49.9,
"R100, R101, R102, R103, R91, R92, R93, R94, R95, R96, R97, R98, R99",0402,13,10k,
R25,0402,1,100k,
"R26, R27, R90",0402,3,1k,
R28,0402,1,33,
"R29, R30",0402,2,5.1k,
"R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88",0402,44,330,
R89,0402,1,200,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_OS102011MS2QN1,16,SW_SPDT,
"SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29",SW_1825910-6-4,13,SW_Push,
"SW30, SW31",SW_Push_1P1T_XKB_TS-1187A,2,TS-1187A-B-A-B,
U10,SOT-223-3_TabPin2,1,AMS1117-3.3,
U6,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350B,
U7,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
"U8, U9",QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,2,MCP23017_ML,C639770
X1,ABM8-272-T3_ABR,1,ABM8-272-T3,
