Designator,Mid X,Mid Y,Rotation,Layer
C1,57.35,-37.8,180.0,bottom
C10,155.15,-72.1,270.0,bottom
C11,163.125,-67.25,180.0,bottom
C12,155.22,-59.0,90.0,bottom
C13,148.3,-65.2,45.0,bottom
C14,149.005,-63.1,0.0,bottom
C15,151.4,-72.2,270.0,bottom
C16,156.1,-72.1,270.0,bottom
C17,159.675,-72.175,270.0,bottom
C18,162.6,-61.08,90.0,bottom
C19,157.475,-59.075,90.0,bottom
C2,74.35,-37.9,180.0,bottom
C20,163.5,-64.675,180.0,bottom
C21,153.525,-59.05,90.0,bottom
C22,152.55,-72.2,270.0,bottom
C23,162.35,-71.65,225.0,bottom
C24,135.2,-62.075,90.0,bottom
C25,115.2,-71.02,90.0,bottom
C26,124.02,-45.91,0.0,bottom
C27,193.0,-44.8,180.0,bottom
C28,125.5,-66.3,270.0,bottom
C29,125.5,-71.0,270.0,bottom
C3,97.5,-37.9,180.0,bottom
C4,164.975,-66.97,270.0,bottom
C5,165.025,-64.2,90.0,bottom
C6,141.8,-60.010589,45.0,bottom
C7,148.775,-68.65,270.0,bottom
C8,147.125,-68.65,270.0,bottom
C9,148.9,-71.35,0.0,bottom
D37,121.8,-62.5,180.0,bottom
D38,137.7,-60.45,270.0,bottom
D39,118.0,-69.1606,270.0,bottom
D41,122.6,-69.1606,270.0,bottom
J4,156.950001,-41.774999,180.0,bottom
L1,145.6,-68.375,90.0,bottom
R1,185.15,-32.75,180.0,bottom
R10,112.6,-32.7,0.0,bottom
R100,100.8,-64.4,180.0,bottom
R101,103.5,-66.4,0.0,bottom
R102,109.3,-64.4,180.0,bottom
R103,117.8,-64.4,180.0,bottom
R11,104.0,-32.7,0.0,bottom
R12,95.4,-32.7,0.0,bottom
R13,85.6025,-37.7,180.0,bottom
R14,78.2025,-32.7,0.0,bottom
R15,64.4,-32.7,0.0,bottom
R16,54.6,-37.7,180.0,bottom
R17,185.5975,-27.6,0.0,bottom
R18,176.9975,-27.6,0.0,bottom
R19,168.4,-27.6,0.0,bottom
R2,177.0025,-32.7,0.0,bottom
R20,159.3975,-27.6,0.0,bottom
R21,154.8,-27.6,180.0,bottom
R22,146.2,-27.6,180.0,bottom
R23,137.2,-27.6,180.0,bottom
R24,124.5975,-27.6,0.0,bottom
R25,120.4,-45.7025,270.0,bottom
R26,121.4,-45.7,90.0,bottom
R27,163.3,-66.2,0.0,bottom
R28,146.875,-71.35,180.0,bottom
R29,111.2,-46.1,270.0,bottom
R3,168.3975,-32.7,0.0,bottom
R30,116.1,-49.0025,90.0,bottom
R33,48.2,-34.9,90.0,bottom
R34,54.0,-32.7,0.0,bottom
R35,47.9,-27.6,0.0,bottom
R36,55.7975,-27.6,0.0,bottom
R37,64.4,-27.6,0.0,bottom
R38,77.0,-27.6,180.0,bottom
R39,81.6,-27.6,0.0,bottom
R4,159.4,-32.7,0.0,bottom
R40,94.2025,-27.6,180.0,bottom
R41,102.8,-27.6,180.0,bottom
R42,111.4,-27.6,180.0,bottom
R43,46.3,-50.4,0.0,bottom
R44,51.5,-50.4,0.0,bottom
R45,140.866666,-46.4975,90.0,bottom
R46,141.8,-50.8975,90.0,bottom
R47,142.2,-48.6975,90.0,bottom
R48,142.6,-46.4975,90.0,bottom
R49,154.175,-51.325,90.0,bottom
R5,154.8,-32.7,180.0,bottom
R50,154.375,-49.125,90.0,bottom
R51,154.6,-46.495,90.0,bottom
R52,155.725,-49.125,90.0,bottom
R53,155.335,-51.325,90.0,bottom
R54,155.85,-46.495,90.0,bottom
R55,156.495,-51.325,90.0,bottom
R56,157.075,-49.125,90.0,bottom
R57,157.1,-46.4975,90.0,bottom
R58,157.655,-51.325,90.0,bottom
R59,158.425,-49.1275,90.0,bottom
R6,146.2,-32.7,180.0,bottom
R60,158.35,-46.495,90.0,bottom
R61,158.815,-51.325,90.0,bottom
R62,159.6,-46.495,90.0,bottom
R63,159.775,-49.1275,90.0,bottom
R64,159.975,-51.325,90.0,bottom
R65,162.8,-50.9,90.0,bottom
R66,163.3,-48.7025,90.0,bottom
R67,163.8,-46.5,90.0,bottom
R68,164.5,-50.9,90.0,bottom
R69,165.0,-48.7,90.0,bottom
R7,138.375,-32.7,0.0,bottom
R70,166.7,-48.7,90.0,bottom
R71,167.9,-50.8975,90.0,bottom
R72,168.9,-46.495,90.0,bottom
R73,172.1,-48.7,90.0,bottom
R74,172.9,-46.5,90.0,bottom
R75,173.7,-48.7,90.0,bottom
R76,174.5,-46.5,90.0,bottom
R77,140.466666,-48.6975,90.0,bottom
R78,140.066666,-50.9,90.0,bottom
R79,138.733333,-48.6975,90.0,bottom
R8,129.85,-32.7,0.0,bottom
