Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 4),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 4),Unit Price (@ Batch Size: 4),Unit Price (@ Batch Size: 4),Unit Price (@ Batch Size: 4),Unit Price (@ Batch Size: 4),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Preferred Distributors)],SKU [Lowest Price (Preferred Distributors)],Packaging [Lowest Price (Preferred Distributors)],Unit Price (@ Batch Size: 4) [Lowest Price (Preferred Distributors)],Line Total [Lowest Price (Preferred Distributors)],Batch Total [Lowest Price (Preferred Distributors)],In Stock [Lowest Price (Preferred Distributors)],MOQ [Lowest Price (Preferred Distributors)],URL [Lowest Price (Preferred Distributors)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,,,,,,,,,,
TLC59211IPWR,5,Texas Instruments,TLC59211IPWR,https://octopart.com/tlc59211ipwr-texas+instruments-12190463,Tape & Reel (TR) TLC59211 Boost Surface Mount led driver 6.5mm 200mA 5.5V 1MHz,,,,Production (Last Updated: 1 week ago),6w,Compliant,20,296-25404-1-ND,595-TLC59211IPWR,,,,Cut Tape,Tape & Reel,,,,1.096,1.03,,,,5318,1116,,,,1,1,,,,https://octopart.com/opatz8j6/a1?t=VQdFIauD_fPa0cCCRRkIhYvgEXnQFrsnA1uGsZ842KhEaEkCP4N4tWLhER8C8sX2NuKtrjctCmGe2vy94hhqCwMjE6JxaX9O4GtShvP5UwudQoUxD1j3gtWntEp0YfGRV6myZDZ_05dNTjW4KTRpcyr5SCk5cEdY_8YcGbYvpNFk_PrZSdUBBfnTkxQ3FxcnMw-cKzbA56FSE9lEDA8KZooJASZHsA4W3pkpel6jA3etHYQF3dNfE3vGznRTddHdqoRO,https://octopart.com/opatz8j6/a1?t=imxa2n330iZEA04EIMPmEWE5C_G3c2NTMaMyPSV8glRaKo1l_m89EEHRwy1zMUsqLsHBaQxyE75Ofy_P9lOxlw-hSfkPcfvJx-BvC46nojSEcwj_OJhoTub9AP8vtOIVOoawatB3XKDFLBNOyyd3hZPDFosK5IJnP1QAD1HiLC9XTAAbetYqrda0JNjbzdjEbmFYgYeuzkrkjYH5v9tBiH1kCIWaI7GF8O91mEN4Pa9A9qMh5W5NayBuNpG2-znGDAknnjw,,,,Mouser,595-TLC59211IPWR,Tape & Reel,1.03,5.15,20.6,1116,1,https://octopart.com/opatz8j6/a1?t=imxa2n330iZEA04EIMPmEWE5C_G3c2NTMaMyPSV8glRaKo1l_m89EEHRwy1zMUsqLsHBaQxyE75Ofy_P9lOxlw-hSfkPcfvJx-BvC46nojSEcwj_OJhoTub9AP8vtOIVOoawatB3XKDFLBNOyyd3hZPDFosK5IJnP1QAD1HiLC9XTAAbetYqrda0JNjbzdjEbmFYgYeuzkrkjYH5v9tBiH1kCIWaI7GF8O91mEN4Pa9A9qMh5W5NayBuNpG2-znGDAknnjw,
VLRK31Q1R2-GS08,36,Vishay,VLRK31Q1R2-GS08,https://octopart.com/vlrk31q1r2-gs08-vishay-23378693,Led Smd Red Reverse Gullwing Rohs Compliant: Yes |Vishay VLRK31Q1R2-GS08,,,,,10w,Compliant,144,VLRK31Q1R2-GS08CT-ND,78-VLRK31Q1R2-GS08,58AJ2838,,,Cut Tape,Tape & Reel,Cut Tape,,,0.2158,0.171,0.166,,,8551,806,287,,,1,1,5,,,https://octopart.com/opatz8j6/a1?t=BqlTNF6zxKvdBL8iSYPTcgPZaDcxb-8DLNbfPzPMF6OLCthS_7LMc8C10waT4SnMEf-sjd-j-OoA3KbNdYJx-LiK3sxmLaIu0dBzmp7zuR4NR2GOLhoAWan0Dt4qeAdEB9kcIxqhk0zuVK9IRaDAojgaJew5HLahxU6Y7JLD_vRjE0IYb0LZjmEJ0i4ha6n90Z-kI4ISH5G4g6vKC7qKAWSdaybJVNyB5uflo-nKG7OgpjjFU5FXv1DJtFX_emSO5I5xFA,https://octopart.com/opatz8j6/a1?t=F_Q6w6wM-wYj9BiELli_QuDYjaYGFMi1Roe7m-b0jxk4OQkYI3UeRsNY5BwzIPMX00gq3s2_2Ek57pg3ge9SXQZY3Bae8_nxPHj5uA3Dws-idZkBtMroid6yzwy7I4hoM_v4Z8A19Giv709uhctNUbfUuDd5oHF7MoRztqTiZPG6rPSb8whfI44o2h7WoObR7XeNvxKaRxEh9R8vsr74FnNJi6Q1liIxP1vVbKNtz6vxdiEHFJTH3uIW0755cDS2CtO8SpE,https://octopart.com/opatz8j6/a1?t=e49SFP0c9qIg0ES3mHtoxoHpnx8M1K2qUGTyb2gMN5CMvX7X5Lz7kd0-tQSwZJiWf94mobt1FNEr9UqPns_d4rfAviUjIL8HZUMtMWDK2wUIQEcKSRSWeMC0qlGElnXLfLu9fWNjbjg715AzGAIyac64DOUc1myPnlrGpbLwroFpDyk_v5iAuDbMqQpTSHI3tpll6pYvocafMNiLUMqYKYLKoqyfwmYkiVNYz5IXzDT1yEVXhT3KHkqoB8DqvBaj95k3SMo,,,Newark,58AJ2838,Cut Tape,0.166,5.976,23.904,287,5,https://octopart.com/opatz8j6/a1?t=e49SFP0c9qIg0ES3mHtoxoHpnx8M1K2qUGTyb2gMN5CMvX7X5Lz7kd0-tQSwZJiWf94mobt1FNEr9UqPns_d4rfAviUjIL8HZUMtMWDK2wUIQEcKSRSWeMC0qlGElnXLfLu9fWNjbjg715AzGAIyac64DOUc1myPnlrGpbLwroFpDyk_v5iAuDbMqQpTSHI3tpll6pYvocafMNiLUMqYKYLKoqyfwmYkiVNYz5IXzDT1yEVXhT3KHkqoB8DqvBaj95k3SMo,
10145891-0320J13LF,4,Amphenol Communications Solutions,10145891-0320J13LF,https://octopart.com/10145891-0320j13lf-amphenol+communications+solutions-126543368,DDR4 Memory Module Socket Connector Socket 288 Position 0.85mm Solder Surface Mount,,,,,16w,,16,609-6571-ND,649-1014591320J13LF,81AC5784,10145891-0320J13LF,,Tray,Tray,,Bulk,,3.097,2.97,2.83,,,1757,1500,1148,2,,1,1,1,32,,https://octopart.com/opatz8j6/a1?t=41XC2kaPo0R94zT-vh1ejcGkB0NZJG9IzjUXjP-uTSShBTJ-QMjS53L7tWyt2Zj-yMprPBXChlJrG4Rcc3YO6pdtM0JXPQ5IDy7yjEwfl-0lxGZrwAvA5uVvvhUmTYs_EN4fARDTgO6siLzvkF2XFT-dN5Sc-iVJWud1xdhn_uKfMh-bq-o-XvcbT7wg387VjVKeMyektqG5zP2edASRYUpdgChMkr8ybdM7GjNcaG34EFcvGGfyHCDJiKnh5rhbQlLKEvg,https://octopart.com/opatz8j6/a1?t=R5KLTfVE1aa12Ch_bhweAHRTs0wUoIP2JBdKS7vUn5_t1rICRye2a_4U_FQsg6h39-0RH2SNSOueAL3fPmvLLSmw8wNc7bSVOSjT4lW2LVQGu9y0mmcv9e4OJEXOayXQ58nYsSXk44f8NjJV6tbQjyKBh_z4JQP1hWMUWP2G_dlVpakW5D4faWeQGn7aIxV0FKVomeEnXwzNd6uDfKN_2IA6mMAOfU2ATxdUfhWjLayJogQadP3GiH0JfLgn3Qvv-Ifitw66,https://octopart.com/opatz8j6/a1?t=kfqPIkEoIBJ_-8vINtj2VWq8FseZdYAS8xcM01RcorF01rrNZkrlzdIERiV9uAVIKffC1NYANLl5kZdJ32J85cjL-AvHKolIQwKaVJ6CeODpmdVul9EvCyKlgqi2NYJXVUEhocnyz4y-YBAjih-aqiouA5d2NlfJR_bLYTF2JSdVse3FRu_i8Pd3QOzLyrobbr-eWF3Y_TV1UuQNq4vKqYD8aJ-9NZIScNddTa4Wr8yMeLPVoMs9Vf4wa1mcgpV6w7U_YSIR,https://octopart.com/opatz8j6/a1?t=-SBYiFGmzwqOmVfs3z3CDeuVq32R-W5yhOGe5GWJhC4-zkxGnz6GEp7xZC0vasLQD8wlLsr5jq6G-uwL5IBqXXJQCB5qRCsD3HX2Exqh6YQ6bss8xYwML4WnrLBSMNbQ32frkyBf0Dv2BYv51i0F-YiJqWhMkXjmoOjeHaxzJTVBXpYPmhkvDiuiu4A-24rvhHKyCc-E9td9jc-M4Shf8r7vnSLjrfDxFJDTjMDrXx6Dt-852itx0XooKN0k85fVFb_z5Y49,,Newark,81AC5784,,2.83,11.32,45.28,1148,1,https://octopart.com/opatz8j6/a1?t=kfqPIkEoIBJ_-8vINtj2VWq8FseZdYAS8xcM01RcorF01rrNZkrlzdIERiV9uAVIKffC1NYANLl5kZdJ32J85cjL-AvHKolIQwKaVJ6CeODpmdVul9EvCyKlgqi2NYJXVUEhocnyz4y-YBAjih-aqiouA5d2NlfJR_bLYTF2JSdVse3FRu_i8Pd3QOzLyrobbr-eWF3Y_TV1UuQNq4vKqYD8aJ-9NZIScNddTa4Wr8yMeLPVoMs9Vf4wa1mcgpV6w7U_YSIR,
MCP16331T-E/CH,1,Microchip,MCP16331T-E/CH,https://octopart.com/mcp16331t-e%2Fch-microchip-47099655,Conv DC-DC 4.4V to 50V Step Down Single-Out 2V to 24V 0.5A Automotive 6-Pin SOT-23 T/R,,,,Production (Last Updated: 4 years ago),17w,Compliant,4,MCP16331T-E/CHCT-ND,579-MCP16331T-E/CH,84X5964,MCP16331T-E/CH,,Cut Tape,Tape & Reel,Cut Tape,Bulk,,1.75,1.75,1.48,,,4507,6366,6866,6000,,1,1,1,250,,https://octopart.com/opatz8j6/a1?t=0_gWJ_iyvKBhutg6BGV6cxwGczbNgt9ZSX6xCHC52K0gU5yRZ-MercbXnlEp9mgy_iwjKDiSo6FojbnCgVQUvcu82RVRI9PlATUeEF9TFgeGK2dwOvcv8VxpNRrmYpLQw5VUzgyPcolJTBqUKDmkIaQytirt2l_0v3FCPdpxHWGm2pcVSYuBU50efbODi4AEjA4msILLsvpq6aj1fbJCABVTjgaYFFXzcp7yECIR-1h-lS8JJy8HtSWKr8dNFO0njDMLUQ,https://octopart.com/opatz8j6/a1?t=XfM4LFba6bmrDmlmg-_n5xTdnfvitaSLNbx4n6z7_F1nChiA_pZYHLU5XG9Rn4FGNolKF3GjXbAvy3TNV1ptnyUiy-Oqbo-jI8I834lFm97_757Qx7lbEKouYFByAcE9wKim4wNjykIqGnPGqhN-DphfgL4PPO7wn-Lh9cUpAv6YtEaZhk0A9fdJ9tZOG0c0_PxFqiwornfrOJfqWXquWQF4JaC6kBSKrT0R6zXTIsfEE7tUvZZ_iCowltobJM0C5JkGl-w,https://octopart.com/opatz8j6/a1?t=RpYgXrh5aH3VPYVBDXqFsBUXKNNxnmWPcVtUa6c4I4uX9dvGmRmfg0YU1IAb3WL300qeG2LF9NZIBtCq-zamJgzTuCRC7mFbEo7L1BGJ_uXpocshQ5mOmDa9E3vuWTAl8ciKs8XqO8iCYN1n-3qM9KiQcAVEtjCDD2kp0x0t_AFQSkGhBekxU7C-wAaMAHWmE8D1kVxbdkzn3neDi2ELFjbzZuMk1NdHxiuZtKauK046V4Ao874jK8mZvlkBSS6wO5bPAX8,https://octopart.com/opatz8j6/a1?t=LwYP_O4AH6_j5modNL2It9wbFEgpbpdDyPeMoSFi5yJBsHrj_NHd5BGPJMyso-QGyxtA-4fCBk_m897noofMR_TJvDptBUd-xicvaEFHD03en8Mh6CuNtOAPYX1dOnY6BAuKRTZPOijiZUBt0ZSKHQVNNEx3Y8Bl-uoWqHnnckgJlnQ-GZns-aeu4JgNHXw93K_GTMjZKKZMZtqF9l3LJwt1d4J-nnOJ-5QkBq8wtSged121Iojr4zcj2crkDlUQJIe08hw,,Newark,84X5964,Cut Tape,1.48,1.48,5.92,6866,1,https://octopart.com/opatz8j6/a1?t=RpYgXrh5aH3VPYVBDXqFsBUXKNNxnmWPcVtUa6c4I4uX9dvGmRmfg0YU1IAb3WL300qeG2LF9NZIBtCq-zamJgzTuCRC7mFbEo7L1BGJ_uXpocshQ5mOmDa9E3vuWTAl8ciKs8XqO8iCYN1n-3qM9KiQcAVEtjCDD2kp0x0t_AFQSkGhBekxU7C-wAaMAHWmE8D1kVxbdkzn3neDi2ELFjbzZuMk1NdHxiuZtKauK046V4Ao874jK8mZvlkBSS6wO5bPAX8,
USB4105-GF-A,4,Global Connector Technology,USB4105-GF-A,https://octopart.com/usb4105-gf-a-global+connector+technology-107467269,"USB Connector, 24 Contact(s), Female, Right Angle, Solder Terminal, Locking, Receptacle",,,,,12w,Compliant,16,2073-USB4105-GF-ACT-ND,,86AH2021,,,Cut Tape,,Cut Tape,,,0.659,,0.701,,,52214,,556,,,1,,1,,,https://octopart.com/opatz8j6/a1?t=S0dSsubF0Db-rYPdL3ps7Hjvbe2tSWFACh3-jE_rQvvM109RPdNsX2zhPUT9C2RPZVYtavJF5-y2gQOnct1z7QDMdOSPim0_stVWrWfg1vwQ1oxPLGKF19hem2vfztJASSAFHVe-y0wDZtNfmFBIGn9YIBk-mzkDBz8Lyu-qat4jJbexV40eXohSLtyTy7V3wN2aSZJ1g0tlZeC56NXsUyjXmXbyiZGqNodc67nzaT3waiY-MvtjKKfMj9hjIWrLXmRNAGo,,https://octopart.com/opatz8j6/a1?t=XQq-zr6yEnf9dBFqwjEKbo74O0iBLIpgM2XoZyJrzE2kvFh85BLyNB-fu_0J74lGi1ptLma3QxGfl2mIiMYnOpn4MjLAHlO3IWXyU_s2crfdPLPjM8gGqWWNo1gVLZHLxhnn0aSFT0j2pBm3hNpSeQ496YsK7RMY4CU6PY20aAraLfXercFZ3UqwqNFvsFTKUPJlOFOSkaNzyCctnOmaEnKsBh8BSFyr5vV51xp0nstFDulnKEb7c_CPOA7xDEY1Ck3yV5RGpg,,,DigiKey,2073-USB4105-GF-ACT-ND,Cut Tape,0.659,2.636,10.544,52214,1,https://octopart.com/opatz8j6/a1?t=S0dSsubF0Db-rYPdL3ps7Hjvbe2tSWFACh3-jE_rQvvM109RPdNsX2zhPUT9C2RPZVYtavJF5-y2gQOnct1z7QDMdOSPim0_stVWrWfg1vwQ1oxPLGKF19hem2vfztJASSAFHVe-y0wDZtNfmFBIGn9YIBk-mzkDBz8Lyu-qat4jJbexV40eXohSLtyTy7V3wN2aSZJ1g0tlZeC56NXsUyjXmXbyiZGqNodc67nzaT3waiY-MvtjKKfMj9hjIWrLXmRNAGo,
OS102011MS2QN1,16,C&K Components,OS102011MS2QN1,https://octopart.com/os102011ms2qn1-c%26k+components-2486956,"C & K COMPONENTS - OS102011MS2QN1 - Slide Switch, SPDT, On-On, Through Hole, OS Series, 100 mA",,,,,10w,Compliant,64,CKN9565-ND,611-OS102011MS2QN1,35AH4511,OS102011MS2QN1,,Bulk,Bulk,,Bulk,,0.5616,0.475,0.51,,,63701,3295,315,36554,,1,1,1,300,,https://octopart.com/opatz8j6/a1?t=vODajRf6hSeF3zCuz4njnwhWYyzDt62jLrN3qTxh4nfsqUyRmHU1MdnSXvYBOh0VcUibmCmJIb89aqkISZ8ykol6bcCxlCkZfM2g-UUA9zNxJgUFW1eJDr1hoMzCwueTs79IhI6s8oaQ63-KEm2Jpp2ybSe8_IPDS_92YcVqugnZ2DkDDGUR1aVkftvBLq5wJsP_WaXsDJOwWtP8M9JTfaX-piOkb65F0BP-QvuFlFWysR-3ApLwrCAaIgRN33qLDtk,https://octopart.com/opatz8j6/a1?t=2S3pYpCPVhgJxkwwHpcR354zVHckjaeBfUORZAVD69nMEXdMRmolthdwpxNsotxMNZUyudiQAp4pHyo8eA_V4tH23eEYhv-bOWREPNNsFdLn4ylt0ktprWZTaeHssMfisuBiLnw7XwBXLkslGIOcAdwQQJtpHKQy-w0T03xgVnvacnwp3PIb2_IpdBog1TxhPimUDwv7GVmIB8Bgm7vQ2VQge1TfBQuwkv4mDRcHwg6dg3rc7leTerK-RGaeKrdlPf3y,https://octopart.com/opatz8j6/a1?t=ALSQzVieqL8Nli6aTvOgIJrHIE8oxX-nuSupEiDd3eyuNz7t5v73LWBaz5Wg3uUiLOOkaypbTDjIt2PT2IRtV1Pa_uaf4QAU3VVwvD-bdsxdZrGU_stV60P6jXjuj8VFkn08M0a_cBnf0BAhCF-YthIxE2cumWCxhR2fsJ6H40Gokiba0pSmPuVu73TIQwlBzmuAxCPzY4uedFcxVfgDK4grAU0pWiwXSDuSg4obcOwybRPvmpKfc7AXyj8wGGGBU3Q6vA,https://octopart.com/opatz8j6/a1?t=oEisFAE356HtFp9irLW3DrRPEY5E9Py_f3I-F31mazAYSIAJfNfivtARVzeayuw5_fSX-BZjIUM2jBdtIpELl7Yz3TR6N_Cs19gHlsDIgAB_HhG4n2RgpmoxxZQmVjBd3kw69nboyPEOVy4FK2PMecw1hMn9D-oirNpdD_Ipy_2ZphG6UNdi0M9M6bQPnrRq51EMXoR5AojPycAiHZ9gXFSEy9U6945ErKJk6s6WIbiFMtdJPe1YfZaqb739KWGoCW3ufA,,Mouser,611-OS102011MS2QN1,Bulk,0.475,7.6,30.4,3295,1,https://octopart.com/opatz8j6/a1?t=2S3pYpCPVhgJxkwwHpcR354zVHckjaeBfUORZAVD69nMEXdMRmolthdwpxNsotxMNZUyudiQAp4pHyo8eA_V4tH23eEYhv-bOWREPNNsFdLn4ylt0ktprWZTaeHssMfisuBiLnw7XwBXLkslGIOcAdwQQJtpHKQy-w0T03xgVnvacnwp3PIb2_IpdBog1TxhPimUDwv7GVmIB8Bgm7vQ2VQge1TfBQuwkv4mDRcHwg6dg3rc7leTerK-RGaeKrdlPf3y,
USB4235-03-C,1,Global Connector Technology,USB4235-03-C,https://octopart.com/usb4235-03-c-global+connector+technology-157378717,"Usb Connector, 2.0 Typ C Rcpt, 16POS, SMT;",,,,,7w,,4,2073-USB4235-03-CCT-ND,,16AM9284,,,Cut Tape,,,,,0.87,,1.15,,,361,,439,,,1,,1,,,https://octopart.com/opatz8j6/a1?t=4KdANeuPug8W73fTtxf3Z32XsebCDYjJRuMGcdjH_zT347lBDHAAk8-kboWs5WWyUdYMOEhgO3h6lOCW2YrCHYQdmwKvInhmaBaJ1nB5y7dF17zBBs27Q1jRV2GPg6Ub2p4578YFLzR8SZiMy-fct_KpOUEWs3Ba2gVZJHWzOQ_zrLZN_5AbD0xVKkMgS8hxkZUji9ZvMyuZdFHxbimBA9dRYbyL9xEpkRcnXPmq6pppU0UGKP7iQuDyw78vtwwbRn073NVp,,https://octopart.com/opatz8j6/a1?t=8yhyPli0IZL94tFUEqMiOExbT2GswP9L90Swy1-UKhn5r27Rvff1mM299VDYCyjZ0NFd6qTuto87lLeBE8XDhX2FlvOEpQ-raUW7CAkVxSdhUK5b0Z67Zx743_6BNd55zcK9bZyTvFkRlB6bjwvBp99lo0fIJP4-4C2hi-MrHlewvYmALURO0f1Furb9w05oAipfd800E3KA1x2haNXFxkfHqOqY9PdNk84_3N-q5364ag0wBW67-Z4geDQ5be89Un1lvHC_QQ,,,DigiKey,2073-USB4235-03-CCT-ND,Cut Tape,0.87,0.87,3.48,361,1,https://octopart.com/opatz8j6/a1?t=4KdANeuPug8W73fTtxf3Z32XsebCDYjJRuMGcdjH_zT347lBDHAAk8-kboWs5WWyUdYMOEhgO3h6lOCW2YrCHYQdmwKvInhmaBaJ1nB5y7dF17zBBs27Q1jRV2GPg6Ub2p4578YFLzR8SZiMy-fct_KpOUEWs3Ba2gVZJHWzOQ_zrLZN_5AbD0xVKkMgS8hxkZUji9ZvMyuZdFHxbimBA9dRYbyL9xEpkRcnXPmq6pppU0UGKP7iQuDyw78vtwwbRn073NVp,
5017868090,1,Molex,501786-8090,https://octopart.com/501786-8090-molex-46509680,FFC & FPC Connectors 0.5 FFC To Board ST Type 80CktEmbsTp Pkg,,,,Production (Last Updated: 4 years ago),9w,Compliant,4,WM20781CT-ND,538-501786-8090,82AH2668,501786-8090,,Cut Tape,,Cut Tape,Bulk,,4.82,4.82,5.12,,,2552,2016,623,17100,,1,1,1,900,,https://octopart.com/opatz8j6/a1?t=79bmNI0Vch7JUYXO3QNNzGP1JtyIB8ulAsO6afCGzvo7Z5BUF0T_KoeoiPBcUAhki9d6d3WaEDl6vgxFkRpKoQ0H99A1yPm1CMeimAp2cPWLvvewfX-Qn-WlVUB3NpDRw_Ed6WwSo_NKnQKdNUjiOLJQlgVQWFZmf4clNdSU_ukJXiBzOxlM--1KbsjP9EHxc_OFD2XrqDRoQ5U4869Cb0-TZJGREEzEQBqvMNzQaWP4n21CaYLF8OUp1PSXEAe-euUlVA,https://octopart.com/opatz8j6/a1?t=GRcEkJMF0bOG9bhK2LRUq1OJzRRc78K48s_l9T9vCZx5BbmHxeWLQ-9vRbtcXoV2lbOrlZ-_zMw4c_XCM20JjENdyHn8CjEsLOwgo5l1yYp3QCgS4We2NtzyGvz9W8MhppY2kC2ol-dkgRQ_thn-2gFPZ7sEp51saxPWhTPXEUUEm0rL3coEO2b4U9Ba02Tb56B4EXv7EYvzlLlpcXSjpePKpbPyh_ifhE8a66XiO00GsKRduYFnGUShG5Pxds2kfoEmM-E,https://octopart.com/opatz8j6/a1?t=3Kj7BzKzS05eRHtY1qqZfDS4gNbo-XIGqhOBV3EBTEIyOjJJK2Jl3hsAkHdTFjH9C63vREYfAGG3tloZzxLa2SltcnxNqLptf4KvUjggHAxKyKGK5MI1ZP9mwm8vU-k5oAlNChzYzn40X4QAHGUqQWRHy37gNY3Q-R0-fvqkSJck6JWFwFYTbmu9jcTVEXOcbuQuupyJJaSJgNPJXTFOAIGhkO22kT5toksyZr_g2IW0bjYSC4KeI5vAn5Ir7oIS8PHC_FY,https://octopart.com/opatz8j6/a1?t=mqUnra7JoZuxX-H6-Ky0VGtQVISL0SxHzjc4CtfYQV53ZkxVFdkEj5J4r1_NYxszE4BT8-9gCCGhtRnx6AZxiR0am_ivYrwkXatu9BdVBDjGvNoNyoXGp1trq8BGM1vQAqmUx-qC5-5dpcttE1r9rdS1fxA6o9gRdGp0RbT86I5mKX5822jHUQAVrMDJOhWm2tY6kY6AxbWYESnidExWrzEZ_xzHVYr2P1cvEso25PFQEomVm3VVLxHveiZsfZkwRh-tfIU,,DigiKey,WM20781CT-ND,Cut Tape,4.82,4.82,19.28,2552,1,https://octopart.com/opatz8j6/a1?t=79bmNI0Vch7JUYXO3QNNzGP1JtyIB8ulAsO6afCGzvo7Z5BUF0T_KoeoiPBcUAhki9d6d3WaEDl6vgxFkRpKoQ0H99A1yPm1CMeimAp2cPWLvvewfX-Qn-WlVUB3NpDRw_Ed6WwSo_NKnQKdNUjiOLJQlgVQWFZmf4clNdSU_ukJXiBzOxlM--1KbsjP9EHxc_OFD2XrqDRoQ5U4869Cb0-TZJGREEzEQBqvMNzQaWP4n21CaYLF8OUp1PSXEAe-euUlVA,
1455T2202,1,Hammond,1455T2202,https://octopart.com/1455t2202-hammond-50599,"Aluminum enclosure, (L x W x H) 220 x 165 x 51.5 mm, natural, IP54, 1455T2202",,,,,4w,Compliant,4,HM906-ND,546-1455T2202,98H4055,1455T2202,,Bulk,Bulk,,Bulk,,33.01,29.41,30.87,30.01,,37,81,249,3,,1,1,1,1,,https://octopart.com/opatz8j6/a1?t=6xwvuCc0N2cKQqEp-fh8yk2ZThwPLTDV4TQkv-HEkuNLWdi_puUPY9tuTS_d6mvuz0K-tyZrLgiSEYWcFs8b2ms1hR5ONQtsP01pMWb8ydlsC2zlcVafI0_-IYD05iBG74jFTEtXJJGUPcxmtce8X9I3V7TVSSWFxL-oLhcc3qZyXnmdL3xtlX5bHSWWJzY1s5iqOtCAEcm_b7OKGdQWzJHJkFZi0rvXDOu350wZrMnxq_pr0jA2mHwtM5mze7M,https://octopart.com/opatz8j6/a1?t=v1o6-TOwZ_kVwnt8ArpUvA5HFCzXPR-ovU2ZNAJwmuc64Yi31tiIBUfzJVURAUlCCvT5UqI81xL7kvc9smVvE4txJAHXk6-l37p96PsRSWhiALvO2db_PnlG5Ib6eq7v_L4dkFGyQXe8CJpDQaYExa4XdgJGZt8hUX1Qj2yLx4p-bNRYWJZILRCZhk1Q5jPpqJWmeqNmfzElbTz1lsamywgKj94WmuVeOwg-O5b1EQhwrfXLKR6I3Msu4hyZDStWKQ,https://octopart.com/opatz8j6/a1?t=vMfrGqZfyN42DaqDfonR53Az_3wOUjGgkw0kUmiFKBWimE64dKsPPtXSUHo18B2jR5z612j1idV2VcLPfOLIEXWMGqzmeUY70CBUulXgqq3w6aJzvCilqpvPAo6lzU5ZX90P2h_FvwY7xcdNwI9it89w02uuSAAXWq0EoOCF3B8f2MO_v7N3t_PWBljUUzxam1tgi-f4M52rw-cs9v0M-K0rdk2JQFLXd4o2-5J7ePjJyPjzejYOobCITo7Mpdh1,https://octopart.com/opatz8j6/a1?t=KhyFIhUIrb5ju4KbwRjEpOaYZqiC-KJHjwOVezOua1cW7NDT2dSRkh6E-v4CDT3qLaE2WYmafRIpK3_M6VawJTTOqpkUcdkno9rI8ghecm_ey3vxBPdEQZ7G7_ltTkSpR5Aqx5ekhHCO1XCGsiiPtCrNz7zaf9l9yZk-3Nz2j4LXGF_Hnu3npzajvQHCMB_jB5ekDJCm_YrGzKuTBAmv8AQ3Y_Hn0JtWJilUfdJWjP7gDcQmwjjsWc4y_X0l4tY9O4E,,Mouser,546-1455T2202,Bulk,29.41,29.41,117.64,81,1,https://octopart.com/opatz8j6/a1?t=v1o6-TOwZ_kVwnt8ArpUvA5HFCzXPR-ovU2ZNAJwmuc64Yi31tiIBUfzJVURAUlCCvT5UqI81xL7kvc9smVvE4txJAHXk6-l37p96PsRSWhiALvO2db_PnlG5Ib6eq7v_L4dkFGyQXe8CJpDQaYExa4XdgJGZt8hUX1Qj2yLx4p-bNRYWJZILRCZhk1Q5jPpqJWmeqNmfzElbTz1lsamywgKj94WmuVeOwg-O5b1EQhwrfXLKR6I3Msu4hyZDStWKQ,
